"No.","Time","D_Time","Source","Destination","Protocol","Length","Sequence num","Ack number","data len","Calculated window size","Info"
"100","12.243119s","0.000002s","192.168.0.42","192.168.0.41","TCP","66","2","65161","","159360","49200 > 33947 [ACK] Seq=2 Ack=65161 Win=159360 Len=0 TSval=4226904 TSecr=127201307"
"101","12.243122s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","72401","2","8688","29312","33947 > 49200 [ACK] Seq=72401 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"102","12.243126s","0.000004s","192.168.0.42","192.168.0.41","TCP","66","2","66609","","160128","49200 > 33947 [ACK] Seq=2 Ack=66609 Win=160128 Len=0 TSval=4226904 TSecr=127201307"
"103","12.243134s","0.000008s","192.168.0.42","192.168.0.41","TCP","66","2","68057","","159104","49200 > 33947 [ACK] Seq=2 Ack=68057 Win=159104 Len=0 TSval=4226904 TSecr=127201307"
"104","12.243147s","0.000013s","192.168.0.42","192.168.0.41","TCP","66","2","69505","","158208","49200 > 33947 [ACK] Seq=2 Ack=69505 Win=158208 Len=0 TSval=4226904 TSecr=127201307"
"105","12.243158s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","2","70953","","157184","49200 > 33947 [ACK] Seq=2 Ack=70953 Win=157184 Len=0 TSval=4226904 TSecr=127201307"
"106","12.243168s","0.000010s","192.168.0.42","192.168.0.41","TCP","66","2","72401","","156288","49200 > 33947 [ACK] Seq=2 Ack=72401 Win=156288 Len=0 TSval=4226904 TSecr=127201307"
"107","12.243180s","0.000012s","192.168.0.42","192.168.0.41","TCP","66","2","73849","","155264","49200 > 33947 [ACK] Seq=2 Ack=73849 Win=155264 Len=0 TSval=4226904 TSecr=127201307"
"108","12.243346s","0.000166s","192.168.0.41","192.168.0.42","TCP","1514","73849","2","1448","29312","33947 > 49200 [ACK] Seq=73849 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"109","12.243365s","0.000019s","192.168.0.42","192.168.0.41","TCP","66","2","75297","","154368","49200 > 33947 [ACK] Seq=2 Ack=75297 Win=154368 Len=0 TSval=4226904 TSecr=127201307"
"110","12.243369s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","75297","2","1448","29312","33947 > 49200 [ACK] Seq=75297 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"111","12.243379s","0.000010s","192.168.0.42","192.168.0.41","TCP","66","2","76745","","153344","49200 > 33947 [ACK] Seq=2 Ack=76745 Win=153344 Len=0 TSval=4226904 TSecr=127201307"
"112","12.243382s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","76745","2","1448","29312","33947 > 49200 [ACK] Seq=76745 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"113","12.243392s","0.000010s","192.168.0.42","192.168.0.41","TCP","66","2","78193","","152448","49200 > 33947 [ACK] Seq=2 Ack=78193 Win=152448 Len=0 TSval=4226904 TSecr=127201307"
"114","12.243395s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","78193","2","1448","29312","33947 > 49200 [ACK] Seq=78193 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
