"No.","Time","New Column","Source","Destination","Protocol","Length","Window size value","Info"
"978","1.502010","0.000120","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=10509 Ack=1 Win=14600 Len=1428 TSval=375 TSecr=375"
"979","1.502130","0.000120","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=11937 Ack=1 Win=14600 Len=1428 TSval=375 TSecr=375"
"1033","1.505241","0.000005","10.4.14.2","10.1.2.2","TCP","62","1785","50000 > 49834 [ACK] Seq=1 Ack=513 Win=14280 Len=0 TSval=375 TSecr=375"
"1034","1.505241","0.000000","10.1.2.2","10.4.14.2","TCP","1502","1825","[TCP Window Full] 49834 > 50000 [PSH, ACK] Seq=13365 Ack=1 Win=14600 Len=1428 TSval=376 TSecr=375"
"1036","1.505251","0.000005","10.4.14.2","10.1.2.2","TCP","62","1785","50000 > 49834 [ACK] Seq=1 Ack=1941 Win=14280 Len=0 TSval=375 TSecr=375"
"1038","1.505260","0.000004","10.4.14.2","10.1.2.2","TCP","62","1785","50000 > 49834 [ACK] Seq=1 Ack=3369 Win=14280 Len=0 TSval=375 TSecr=375"
"1039","1.505265","0.000005","10.4.14.2","10.1.2.2","TCP","62","1785","50000 > 49834 [ACK] Seq=1 Ack=4797 Win=14280 Len=0 TSval=375 TSecr=375"
"1040","1.505270","0.000005","10.4.14.2","10.1.2.2","TCP","62","1785","50000 > 49834 [ACK] Seq=1 Ack=6225 Win=14280 Len=0 TSval=375 TSecr=375"
"1041","1.505275","0.000005","10.4.14.2","10.1.2.2","TCP","62","1785","50000 > 49834 [ACK] Seq=1 Ack=7653 Win=14280 Len=0 TSval=375 TSecr=375"
"1042","1.505280","0.000005","10.4.14.2","10.1.2.2","TCP","62","1785","50000 > 49834 [ACK] Seq=1 Ack=9081 Win=14280 Len=0 TSval=375 TSecr=375"
"1044","1.505290","0.000005","10.4.14.2","10.1.2.2","TCP","62","1785","50000 > 49834 [ACK] Seq=1 Ack=10509 Win=14280 Len=0 TSval=375 TSecr=375"
"1046","1.505481","0.000120","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=14793 Ack=1 Win=14600 Len=1428 TSval=376 TSecr=375"
"1048","1.505516","0.000005","10.4.14.2","10.1.2.2","TCP","62","1785","50000 > 49834 [ACK] Seq=1 Ack=11937 Win=14280 Len=0 TSval=375 TSecr=375"
