"No.","Time","Delta time","Source","Destination","Protocol","Length","Window size value","Info"
"1794","1.748119","0.000000","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [ACK] Seq=46209 Ack=1 Win=14600 Len=1428 TSval=437 TSecr=436"
"1795","1.748239","0.000120","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [ACK] Seq=47637 Ack=1 Win=14600 Len=1428 TSval=437 TSecr=436"
"1798","1.748697","0.000058","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=46209 Win=5840 Len=0 TSval=437 TSecr=436"
"1799","1.748697","0.000000","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [ACK] Seq=49065 Ack=1 Win=14600 Len=1428 TSval=437 TSecr=437"
"1800","1.748817","0.000120","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=50493 Ack=1 Win=14600 Len=1428 TSval=437 TSecr=437"
"1805","1.749707","0.000410","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=49065 Win=5840 Len=0 TSval=437 TSecr=437"
"1806","1.749707","0.000000","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [ACK] Seq=51921 Ack=1 Win=14600 Len=1428 TSval=437 TSecr=437"
"1808","1.749827","0.000045","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [ACK] Seq=53349 Ack=1 Win=14600 Len=1428 TSval=437 TSecr=437"
"1810","1.750253","0.000064","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=51921 Win=5840 Len=0 TSval=437 TSecr=437"
"1811","1.750253","0.000000","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [ACK] Seq=54777 Ack=1 Win=14600 Len=1428 TSval=437 TSecr=437"
"1812","1.750373","0.000120","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=56205 Ack=1 Win=14600 Len=1428 TSval=437 TSecr=437"
"1813","1.751290","0.000917","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=54777 Win=5840 Len=0 TSval=437 TSecr=437"
"1814","1.751290","0.000000","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [ACK] Seq=57633 Ack=1 Win=14600 Len=1428 TSval=437 TSecr=437"
