Time,Source,Destination,Length,data len
4.069556s,10.2.2.1,10.1.2.1,62,
4.069556s,10.1.2.1,10.2.2.1,1502,1428
4.069919s,10.2.2.1,10.1.2.1,62,
4.069919s,10.1.2.1,10.2.2.1,1502,1428
4.070281s,10.2.2.1,10.1.2.1,62,
4.070281s,10.1.2.1,10.2.2.1,1502,1428
4.070644s,10.2.2.1,10.1.2.1,62,
4.070644s,10.1.2.1,10.2.2.1,1502,1428
4.071007s,10.2.2.1,10.1.2.1,62,
4.071007s,10.1.2.1,10.2.2.1,1502,1428
4.071370s,10.2.2.1,10.1.2.1,62,
4.071370s,10.1.2.1,10.2.2.1,1502,1428
4.071733s,10.2.2.1,10.1.2.1,62,
4.071733s,10.1.2.1,10.2.2.1,1502,1428
4.072095s,10.2.2.1,10.1.2.1,62,
4.072095s,10.1.2.1,10.2.2.1,1502,1428
4.072458s,10.2.2.1,10.1.2.1,62,
4.072458s,10.1.2.1,10.2.2.1,1502,1428
4.072821s,10.2.2.1,10.1.2.1,62,
4.072821s,10.1.2.1,10.2.2.1,1502,1428
4.073184s,10.2.2.1,10.1.2.1,62,
4.073184s,10.1.2.1,10.2.2.1,1502,1428
4.073547s,10.2.2.1,10.1.2.1,62,
4.073547s,10.1.2.1,10.2.2.1,1502,1428
4.073909s,10.2.2.1,10.1.2.1,62,
4.073909s,10.1.2.1,10.2.2.1,1502,1428
4.074272s,10.2.2.1,10.1.2.1,62,
4.074272s,10.1.2.1,10.2.2.1,1502,1428
4.074635s,10.2.2.1,10.1.2.1,62,
4.074635s,10.1.2.1,10.2.2.1,1502,1428
4.074998s,10.2.2.1,10.1.2.1,62,
4.074998s,10.1.2.1,10.2.2.1,1502,1428
4.075361s,10.2.2.1,10.1.2.1,62,
4.075361s,10.1.2.1,10.2.2.1,1502,1428
4.075723s,10.2.2.1,10.1.2.1,62,
4.075723s,10.1.2.1,10.2.2.1,1502,1428
4.076086s,10.2.2.1,10.1.2.1,62,
4.076086s,10.1.2.1,10.2.2.1,1502,1428
4.076449s,10.2.2.1,10.1.2.1,62,
4.076449s,10.1.2.1,10.2.2.1,1502,1428
4.076812s,10.2.2.1,10.1.2.1,62,
4.076812s,10.1.2.1,10.2.2.1,1502,1428
4.077175s,10.2.2.1,10.1.2.1,62,
