Time,Source,Destination,Length,data len
5.168464s,10.2.1.1,10.1.1.1,62,
5.168582s,10.1.1.1,10.2.1.1,1502,1428
5.168702s,10.1.1.1,10.2.1.1,1502,1428
5.168705s,10.2.1.1,10.1.1.1,62,
5.168823s,10.1.1.1,10.2.1.1,1502,1428
5.168943s,10.1.1.1,10.2.1.1,1502,1428
5.168945s,10.2.1.1,10.1.1.1,62,
5.169063s,10.1.1.1,10.2.1.1,1502,1428
5.169183s,10.1.1.1,10.2.1.1,1502,1428
5.169185s,10.2.1.1,10.1.1.1,62,
5.169303s,10.1.1.1,10.2.1.1,1502,1428
5.169423s,10.1.1.1,10.2.1.1,1502,1428
5.169426s,10.2.1.1,10.1.1.1,62,
5.169544s,10.1.1.1,10.2.1.1,1502,1428
5.169664s,10.1.1.1,10.2.1.1,1502,1428
5.169666s,10.2.1.1,10.1.1.1,62,
5.169784s,10.1.1.1,10.2.1.1,1502,1428
5.169904s,10.1.1.1,10.2.1.1,1502,1428
5.169906s,10.2.1.1,10.1.1.1,62,
5.170024s,10.1.1.1,10.2.1.1,1502,1428
5.170144s,10.1.1.1,10.2.1.1,586,512
5.170147s,10.2.1.1,10.1.1.1,62,
5.170191s,10.1.1.1,10.2.1.1,1502,1428
5.170311s,10.1.1.1,10.2.1.1,1502,1428
5.170387s,10.2.1.1,10.1.1.1,62,
5.170432s,10.1.1.1,10.2.1.1,1502,1428
5.170434s,10.2.1.1,10.1.1.1,62,
5.170552s,10.1.1.1,10.2.1.1,1502,1428
5.170554s,10.2.1.1,10.1.1.1,62,
5.170672s,10.1.1.1,10.2.1.1,1502,1428
5.170674s,10.2.1.1,10.1.1.1,62,
5.170792s,10.1.1.1,10.2.1.1,1502,1428
5.170794s,10.2.1.1,10.1.1.1,62,
5.170912s,10.1.1.1,10.2.1.1,1502,1428
5.170914s,10.2.1.1,10.1.1.1,62,
5.171032s,10.1.1.1,10.2.1.1,1502,1428
5.171035s,10.2.1.1,10.1.1.1,62,
5.171152s,10.1.1.1,10.2.1.1,1502,1428
5.171155s,10.2.1.1,10.1.1.1,62,
5.171273s,10.1.1.1,10.2.1.1,1502,1428
5.171275s,10.2.1.1,10.1.1.1,62,
5.171393s,10.1.1.1,10.2.1.1,1502,1428
5.171395s,10.2.1.1,10.1.1.1,62,
5.171513s,10.1.1.1,10.2.1.1,1502,1428
5.171515s,10.2.1.1,10.1.1.1,62,
5.171633s,10.1.1.1,10.2.1.1,1502,1428
5.171635s,10.2.1.1,10.1.1.1,62,
5.171753s,10.1.1.1,10.2.1.1,1502,1428
5.171756s,10.2.1.1,10.1.1.1,62,
5.171873s,10.1.1.1,10.2.1.1,1502,1428
5.171876s,10.2.1.1,10.1.1.1,62,
5.171994s,10.1.1.1,10.2.1.1,1502,1428
5.171996s,10.2.1.1,10.1.1.1,62,
5.172114s,10.1.1.1,10.2.1.1,1502,1428
5.172116s,10.2.1.1,10.1.1.1,62,
5.172234s,10.1.1.1,10.2.1.1,1502,1428
5.172236s,10.2.1.1,10.1.1.1,62,
5.172354s,10.1.1.1,10.2.1.1,1502,1428
5.172356s,10.2.1.1,10.1.1.1,62,
5.172474s,10.1.1.1,10.2.1.1,1502,1428
5.172594s,10.1.1.1,10.2.1.1,1502,1428
5.172597s,10.2.1.1,10.1.1.1,62,
5.172715s,10.1.1.1,10.2.1.1,1502,1428
5.172835s,10.1.1.1,10.2.1.1,1502,1428
5.172837s,10.2.1.1,10.1.1.1,62,
5.172955s,10.1.1.1,10.2.1.1,1502,1428
5.173075s,10.1.1.1,10.2.1.1,1502,1428
5.173077s,10.2.1.1,10.1.1.1,62,
5.173195s,10.1.1.1,10.2.1.1,1502,1428
5.173315s,10.1.1.1,10.2.1.1,1502,1428
5.173318s,10.2.1.1,10.1.1.1,62,
5.173436s,10.1.1.1,10.2.1.1,1502,1428
5.173556s,10.1.1.1,10.2.1.1,1502,1428
5.173558s,10.2.1.1,10.1.1.1,62,
5.173676s,10.1.1.1,10.2.1.1,1502,1428
5.173796s,10.1.1.1,10.2.1.1,1502,1428
5.173798s,10.2.1.1,10.1.1.1,62,
5.173916s,10.1.1.1,10.2.1.1,1502,1428
5.174036s,10.1.1.1,10.2.1.1,1502,1428
5.174039s,10.2.1.1,10.1.1.1,62,
5.174156s,10.1.1.1,10.2.1.1,1502,1428
5.174159s,10.2.1.1,10.1.1.1,62,
5.174277s,10.1.1.1,10.2.1.1,1502,1428
5.174279s,10.2.1.1,10.1.1.1,62,
5.174397s,10.1.1.1,10.2.1.1,1502,1428
5.174399s,10.2.1.1,10.1.1.1,62,
5.174517s,10.1.1.1,10.2.1.1,1502,1428
5.174519s,10.2.1.1,10.1.1.1,62,
5.174637s,10.1.1.1,10.2.1.1,1502,1428
5.174639s,10.2.1.1,10.1.1.1,62,
5.174757s,10.1.1.1,10.2.1.1,1502,1428
5.174760s,10.2.1.1,10.1.1.1,62,
5.174877s,10.1.1.1,10.2.1.1,1502,1428
5.174880s,10.2.1.1,10.1.1.1,62,
5.174998s,10.1.1.1,10.2.1.1,1502,1428
5.175000s,10.2.1.1,10.1.1.1,62,
5.175118s,10.1.1.1,10.2.1.1,1502,1428
5.175120s,10.2.1.1,10.1.1.1,62,
5.175238s,10.1.1.1,10.2.1.1,1502,1428
5.175240s,10.2.1.1,10.1.1.1,62,
5.175358s,10.1.1.1,10.2.1.1,1502,1428
5.175360s,10.2.1.1,10.1.1.1,62,
5.175478s,10.1.1.1,10.2.1.1,1502,1428
5.175481s,10.2.1.1,10.1.1.1,62,
5.175598s,10.1.1.1,10.2.1.1,1502,1428
5.175601s,10.2.1.1,10.1.1.1,62,
5.175719s,10.1.1.1,10.2.1.1,1502,1428
5.175721s,10.2.1.1,10.1.1.1,62,
5.175839s,10.1.1.1,10.2.1.1,1502,1428
5.175841s,10.2.1.1,10.1.1.1,62,
5.175959s,10.1.1.1,10.2.1.1,1502,1428
