Time,Source,Destination,Length,data len
5.057710s,10.2.2.1,10.1.2.1,62,
5.057828s,10.1.2.1,10.2.2.1,1502,1428
5.057948s,10.1.2.1,10.2.2.1,1502,1428
5.057950s,10.2.2.1,10.1.2.1,62,
5.058068s,10.1.2.1,10.2.2.1,1502,1428
5.058188s,10.1.2.1,10.2.2.1,1502,1428
5.058190s,10.2.2.1,10.1.2.1,62,
5.058308s,10.1.2.1,10.2.2.1,1502,1428
5.058428s,10.1.2.1,10.2.2.1,1502,1428
5.058431s,10.2.2.1,10.1.2.1,62,
5.058549s,10.1.2.1,10.2.2.1,1502,1428
5.058669s,10.1.2.1,10.2.2.1,1502,1428
5.058671s,10.2.2.1,10.1.2.1,62,
5.058789s,10.1.2.1,10.2.2.1,1502,1428
5.058909s,10.1.2.1,10.2.2.1,1502,1428
5.058911s,10.2.2.1,10.1.2.1,62,
5.059029s,10.1.2.1,10.2.2.1,1502,1428
5.059149s,10.1.2.1,10.2.2.1,1502,1428
5.059152s,10.2.2.1,10.1.2.1,62,
5.059269s,10.1.2.1,10.2.2.1,1502,1428
5.059390s,10.1.2.1,10.2.2.1,1502,1428
5.059392s,10.2.2.1,10.1.2.1,62,
5.059510s,10.1.2.1,10.2.2.1,1502,1428
5.059630s,10.1.2.1,10.2.2.1,1502,1428
5.059632s,10.2.2.1,10.1.2.1,62,
5.059750s,10.1.2.1,10.2.2.1,1502,1428
5.059870s,10.1.2.1,10.2.2.1,1502,1428
5.059873s,10.2.2.1,10.1.2.1,62,
5.059990s,10.1.2.1,10.2.2.1,1502,1428
5.060111s,10.1.2.1,10.2.2.1,1502,1428
5.060113s,10.2.2.1,10.1.2.1,62,
5.060231s,10.1.2.1,10.2.2.1,1502,1428
5.060351s,10.1.2.1,10.2.2.1,1502,1428
5.060353s,10.2.2.1,10.1.2.1,62,
5.060471s,10.1.2.1,10.2.2.1,1502,1428
5.060591s,10.1.2.1,10.2.2.1,1502,1428
5.060594s,10.2.2.1,10.1.2.1,62,
5.060711s,10.1.2.1,10.2.2.1,1502,1428
5.060832s,10.1.2.1,10.2.2.1,1502,1428
5.060834s,10.2.2.1,10.1.2.1,62,
5.060952s,10.1.2.1,10.2.2.1,1502,1428
5.061072s,10.1.2.1,10.2.2.1,1502,1428
5.061074s,10.2.2.1,10.1.2.1,62,
5.061192s,10.1.2.1,10.2.2.1,1502,1428
5.061312s,10.1.2.1,10.2.2.1,1502,1428
5.061315s,10.2.2.1,10.1.2.1,62,
5.061432s,10.1.2.1,10.2.2.1,1502,1428
5.061553s,10.1.2.1,10.2.2.1,1502,1428
5.061555s,10.2.2.1,10.1.2.1,62,
