Time,Source,Destination,Length,data len
4.057459s,10.2.1.1,10.1.1.1,62,
4.057577s,10.1.1.1,10.2.1.1,1502,1428
4.057579s,10.2.1.1,10.1.1.1,62,
4.057697s,10.1.1.1,10.2.1.1,1502,1428
4.057699s,10.2.1.1,10.1.1.1,62,
4.057817s,10.1.1.1,10.2.1.1,1502,1428
4.057819s,10.2.1.1,10.1.1.1,62,
4.057937s,10.1.1.1,10.2.1.1,1502,1428
4.057939s,10.2.1.1,10.1.1.1,62,
4.058057s,10.1.1.1,10.2.1.1,1502,1428
4.058060s,10.2.1.1,10.1.1.1,62,
4.058177s,10.1.1.1,10.2.1.1,1502,1428
4.058180s,10.2.1.1,10.1.1.1,62,
4.058298s,10.1.1.1,10.2.1.1,1502,1428
4.058300s,10.2.1.1,10.1.1.1,62,
4.058418s,10.1.1.1,10.2.1.1,1502,1428
4.058420s,10.2.1.1,10.1.1.1,62,
4.058538s,10.1.1.1,10.2.1.1,1502,1428
4.058540s,10.2.1.1,10.1.1.1,62,
4.058658s,10.1.1.1,10.2.1.1,1502,1428
4.058660s,10.2.1.1,10.1.1.1,62,
4.058778s,10.1.1.1,10.2.1.1,1502,1428
4.058781s,10.2.1.1,10.1.1.1,62,
4.058898s,10.1.1.1,10.2.1.1,1502,1428
4.058901s,10.2.1.1,10.1.1.1,62,
4.059019s,10.1.1.1,10.2.1.1,1502,1428
4.059021s,10.2.1.1,10.1.1.1,62,
4.059139s,10.1.1.1,10.2.1.1,1502,1428
4.059141s,10.2.1.1,10.1.1.1,62,
4.059259s,10.1.1.1,10.2.1.1,1502,1428
4.059261s,10.2.1.1,10.1.1.1,62,
4.059379s,10.1.1.1,10.2.1.1,1502,1428
4.059381s,10.2.1.1,10.1.1.1,62,
4.059499s,10.1.1.1,10.2.1.1,1502,1428
4.059502s,10.2.1.1,10.1.1.1,62,
4.059619s,10.1.1.1,10.2.1.1,1502,1428
4.059622s,10.2.1.1,10.1.1.1,62,
4.059740s,10.1.1.1,10.2.1.1,1502,1428
4.059742s,10.2.1.1,10.1.1.1,62,
4.059860s,10.1.1.1,10.2.1.1,1502,1428
4.059862s,10.2.1.1,10.1.1.1,62,
4.059980s,10.1.1.1,10.2.1.1,1502,1428
4.059982s,10.2.1.1,10.1.1.1,62,
4.060100s,10.1.1.1,10.2.1.1,1502,1428
4.060102s,10.2.1.1,10.1.1.1,62,
4.060220s,10.1.1.1,10.2.1.1,1502,1428
4.060222s,10.2.1.1,10.1.1.1,62,
4.060340s,10.1.1.1,10.2.1.1,1502,1428
4.060343s,10.2.1.1,10.1.1.1,62,
4.060460s,10.1.1.1,10.2.1.1,1502,1428
4.060463s,10.2.1.1,10.1.1.1,62,
4.060581s,10.1.1.1,10.2.1.1,1502,1428
4.060583s,10.2.1.1,10.1.1.1,62,
4.060701s,10.1.1.1,10.2.1.1,1502,1428
4.060703s,10.2.1.1,10.1.1.1,62,
4.060821s,10.1.1.1,10.2.1.1,1502,1428
4.060823s,10.2.1.1,10.1.1.1,62,
4.060941s,10.1.1.1,10.2.1.1,1502,1428
4.060943s,10.2.1.1,10.1.1.1,62,
4.061061s,10.1.1.1,10.2.1.1,1502,1428
4.061064s,10.2.1.1,10.1.1.1,62,
4.061181s,10.1.1.1,10.2.1.1,1502,1428
4.061184s,10.2.1.1,10.1.1.1,62,
4.061302s,10.1.1.1,10.2.1.1,1502,1428
4.061304s,10.2.1.1,10.1.1.1,62,
4.061422s,10.1.1.1,10.2.1.1,1502,1428
4.061424s,10.2.1.1,10.1.1.1,62,
4.061542s,10.1.1.1,10.2.1.1,1502,1428
4.061544s,10.2.1.1,10.1.1.1,62,
4.061662s,10.1.1.1,10.2.1.1,1502,1428
4.061664s,10.2.1.1,10.1.1.1,62,
4.061782s,10.1.1.1,10.2.1.1,1502,1428
4.061785s,10.2.1.1,10.1.1.1,62,
4.061902s,10.1.1.1,10.2.1.1,1502,1428
4.061905s,10.2.1.1,10.1.1.1,62,
4.062023s,10.1.1.1,10.2.1.1,1502,1428
4.062025s,10.2.1.1,10.1.1.1,62,
4.062143s,10.1.1.1,10.2.1.1,1502,1428
4.062145s,10.2.1.1,10.1.1.1,62,
4.062263s,10.1.1.1,10.2.1.1,1502,1428
4.062265s,10.2.1.1,10.1.1.1,62,
4.062383s,10.1.1.1,10.2.1.1,1502,1428
4.062385s,10.2.1.1,10.1.1.1,62,
4.062503s,10.1.1.1,10.2.1.1,1502,1428
4.062506s,10.2.1.1,10.1.1.1,62,
4.062623s,10.1.1.1,10.2.1.1,1502,1428
4.062626s,10.2.1.1,10.1.1.1,62,
4.062744s,10.1.1.1,10.2.1.1,1502,1428
4.062746s,10.2.1.1,10.1.1.1,62,
4.062864s,10.1.1.1,10.2.1.1,1502,1428
4.062866s,10.2.1.1,10.1.1.1,62,
4.062984s,10.1.1.1,10.2.1.1,1502,1428
4.062986s,10.2.1.1,10.1.1.1,62,
4.063104s,10.1.1.1,10.2.1.1,1502,1428
4.063106s,10.2.1.1,10.1.1.1,62,
4.063224s,10.1.1.1,10.2.1.1,1502,1428
4.063226s,10.2.1.1,10.1.1.1,62,
4.063344s,10.1.1.1,10.2.1.1,1502,1428
4.063347s,10.2.1.1,10.1.1.1,62,
4.063464s,10.1.1.1,10.2.1.1,1502,1428
4.063467s,10.2.1.1,10.1.1.1,62,
4.063585s,10.1.1.1,10.2.1.1,1502,1428
4.063587s,10.2.1.1,10.1.1.1,62,
4.063705s,10.1.1.1,10.2.1.1,1502,1428
4.063707s,10.2.1.1,10.1.1.1,62,
4.063825s,10.1.1.1,10.2.1.1,1502,1428
4.063827s,10.2.1.1,10.1.1.1,62,
4.063945s,10.1.1.1,10.2.1.1,1502,1428
4.063947s,10.2.1.1,10.1.1.1,62,
4.064065s,10.1.1.1,10.2.1.1,1502,1428
4.064068s,10.2.1.1,10.1.1.1,62,
4.064185s,10.1.1.1,10.2.1.1,1502,1428
4.064188s,10.2.1.1,10.1.1.1,62,
4.064306s,10.1.1.1,10.2.1.1,1502,1428
4.064308s,10.2.1.1,10.1.1.1,62,
4.064426s,10.1.1.1,10.2.1.1,1502,1428
4.064428s,10.2.1.1,10.1.1.1,62,
4.064546s,10.1.1.1,10.2.1.1,1502,1428
4.064548s,10.2.1.1,10.1.1.1,62,
4.064666s,10.1.1.1,10.2.1.1,1502,1428
