"No.","Time","D_Time","Source","Destination","Protocol","Length","Sequence num","Ack number","data len","Calculated window size","Info"
"3430","1.376987s","0.000007s","192.168.0.41","192.168.0.42","TCP","1514","708073","2","1448","29312","46745 > 49203 [ACK] Seq=708073 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3431","1.377002s","0.000015s","192.168.0.42","192.168.0.41","TCP","66","2","709521","","254848","49203 > 46745 [ACK] Seq=2 Ack=709521 Win=254848 Len=0 TSval=188776 TSecr=166833"
"3432","1.377006s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","709521","2","1448","29312","46745 > 49203 [ACK] Seq=709521 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3433","1.377017s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","2","710969","","257792","49203 > 46745 [ACK] Seq=2 Ack=710969 Win=257792 Len=0 TSval=188776 TSecr=166833"
"3434","1.377021s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","710969","2","1448","29312","46745 > 49203 [ACK] Seq=710969 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3435","1.377035s","0.000014s","192.168.0.42","192.168.0.41","TCP","66","2","712417","","260736","49203 > 46745 [ACK] Seq=2 Ack=712417 Win=260736 Len=0 TSval=188776 TSecr=166833"
"3436","1.377040s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","712417","2","1448","29312","46745 > 49203 [ACK] Seq=712417 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3437","1.377052s","0.000012s","192.168.0.42","192.168.0.41","TCP","66","2","713865","","263552","49203 > 46745 [ACK] Seq=2 Ack=713865 Win=263552 Len=0 TSval=188776 TSecr=166833"
"3438","1.377056s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","713865","2","1448","29312","46745 > 49203 [ACK] Seq=713865 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3439","1.377067s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","2","715313","","266496","49203 > 46745 [ACK] Seq=2 Ack=715313 Win=266496 Len=0 TSval=188776 TSecr=166833"
"3440","1.377071s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","715313","2","1448","29312","46745 > 49203 [ACK] Seq=715313 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
