"No.","Time","D_Time","Source","Destination","Protocol","Length","Sequence num","Ack number","data len","Calculated window size","Info"
"3424","0.064692s","0.000009s","192.168.0.41","192.168.0.42","TCP","1514","401097","2","17376","29312","60973 > 49204 [ACK] Seq=401097 Ack=2 Win=29312 Len=1448 TSval=158640 TSecr=180584"
"3425","0.064696s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","402545","2","18824","29312","60973 > 49204 [ACK] Seq=402545 Ack=2 Win=29312 Len=1448 TSval=158640 TSecr=180584"
"3433","0.070395s","0.005699s","192.168.0.42","192.168.0.41","TCP","66","2","403993","","6272","49204 > 60973 [ACK] Seq=2 Ack=403993 Win=6272 Len=0 TSval=180585 TSecr=158640"
"3453","0.070795s","0.000400s","192.168.0.41","192.168.0.42","TCP","1514","403993","2","1448","29312","60973 > 49204 [ACK] Seq=403993 Ack=2 Win=29312 Len=1448 TSval=158642 TSecr=180585"
"3454","0.070801s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","405441","2","2896","29312","60973 > 49204 [ACK] Seq=405441 Ack=2 Win=29312 Len=1448 TSval=158642 TSecr=180585"
"3455","0.070810s","0.000009s","192.168.0.41","192.168.0.42","TCP","1514","406889","2","4344","29312","60973 > 49204 [ACK] Seq=406889 Ack=2 Win=29312 Len=1448 TSval=158642 TSecr=180585"
"3456","0.070815s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","408337","2","5792","29312","60973 > 49204 [ACK] Seq=408337 Ack=2 Win=29312 Len=1448 TSval=158642 TSecr=180585"
"3463","0.071510s","0.000695s","192.168.0.42","192.168.0.41","TCP","66","2","409785","","2432","49204 > 60973 [ACK] Seq=2 Ack=409785 Win=2432 Len=0 TSval=180586 TSecr=158642"
"3470","0.071712s","0.000202s","192.168.0.41","192.168.0.42","TCP","1514","409785","2","1448","29312","60973 > 49204 [ACK] Seq=409785 Ack=2 Win=29312 Len=1448 TSval=158642 TSecr=180586"
"3665","0.078769s","0.007057s","192.168.0.42","192.168.0.41","TCP","66","2","411233","","18944","49204 > 60973 [ACK] Seq=2 Ack=411233 Win=18944 Len=0 TSval=180587 TSecr=158642"
"3687","0.079309s","0.000540s","192.168.0.41","192.168.0.42","TCP","1514","411233","2","1448","29312","60973 > 49204 [PSH, ACK] Seq=411233 Ack=2 Win=29312 Len=1448 TSval=158644 TSecr=180587"
"3688","0.079314s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","412681","2","2896","29312","60973 > 49204 [ACK] Seq=412681 Ack=2 Win=29312 Len=1448 TSval=158644 TSecr=180587"
"3689","0.079318s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","414129","2","4344","29312","60973 > 49204 [ACK] Seq=414129 Ack=2 Win=29312 Len=1448 TSval=158644 TSecr=180587"
"3691","0.079325s","0.000007s","192.168.0.41","192.168.0.42","TCP","1514","415577","2","5792","29312","60973 > 49204 [ACK] Seq=415577 Ack=2 Win=29312 Len=1448 TSval=158644 TSecr=180587"
"3692","0.079328s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","417025","2","7240","29312","60973 > 49204 [ACK] Seq=417025 Ack=2 Win=29312 Len=1448 TSval=158644 TSecr=180587"
"3693","0.079332s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","418473","2","8688","29312","60973 > 49204 [ACK] Seq=418473 Ack=2 Win=29312 Len=1448 TSval=158644 TSecr=180587"
"3695","0.079339s","0.000007s","192.168.0.41","192.168.0.42","TCP","1514","419921","2","10136","29312","60973 > 49204 [ACK] Seq=419921 Ack=2 Win=29312 Len=1448 TSval=158644 TSecr=180587"
"3696","0.079342s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","421369","2","11584","29312","60973 > 49204 [ACK] Seq=421369 Ack=2 Win=29312 Len=1448 TSval=158644 TSecr=180587"
"3697","0.079345s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","422817","2","13032","29312","60973 > 49204 [ACK] Seq=422817 Ack=2 Win=29312 Len=1448 TSval=158644 TSecr=180587"
