Time,Source,Destination,Length,data len
4.022715s,10.2.0.1,10.1.0.1,54,
4.022834s,10.1.0.1,10.2.0.1,1502,1448
4.022835s,10.2.0.1,10.1.0.1,54,
4.022954s,10.1.0.1,10.2.0.1,1502,1448
4.022955s,10.2.0.1,10.1.0.1,54,
4.023074s,10.1.0.1,10.2.0.1,1502,1448
4.023075s,10.2.0.1,10.1.0.1,54,
4.023195s,10.1.0.1,10.2.0.1,1502,1448
4.023195s,10.2.0.1,10.1.0.1,54,
4.023315s,10.1.0.1,10.2.0.1,1502,1448
4.023316s,10.2.0.1,10.1.0.1,54,
4.023435s,10.1.0.1,10.2.0.1,1502,1448
4.023436s,10.2.0.1,10.1.0.1,54,
4.023555s,10.1.0.1,10.2.0.1,1502,1448
4.023556s,10.2.0.1,10.1.0.1,54,
4.023675s,10.1.0.1,10.2.0.1,1502,1448
4.023676s,10.2.0.1,10.1.0.1,54,
4.023795s,10.1.0.1,10.2.0.1,1502,1448
4.023796s,10.2.0.1,10.1.0.1,54,
4.023916s,10.1.0.1,10.2.0.1,1502,1448
4.023916s,10.2.0.1,10.1.0.1,54,
4.024036s,10.1.0.1,10.2.0.1,1502,1448
4.024039s,10.2.0.1,10.1.0.1,66,
4.024156s,10.1.0.1,10.2.0.1,1502,1448
4.024161s,10.2.0.1,10.1.0.1,74,
4.024276s,10.1.0.1,10.2.0.1,1502,1448
4.024282s,10.2.0.1,10.1.0.1,82,
4.024396s,10.1.0.1,10.2.0.1,1502,1448
4.024403s,10.2.0.1,10.1.0.1,82,
4.024516s,10.1.0.1,10.2.0.1,1502,1448
4.024523s,10.2.0.1,10.1.0.1,82,
4.024637s,10.1.0.1,10.2.0.1,1502,1448
4.024643s,10.2.0.1,10.1.0.1,82,
4.024757s,10.1.0.1,10.2.0.1,1502,1448
4.024763s,10.2.0.1,10.1.0.1,82,
4.024877s,10.1.0.1,10.2.0.1,1502,1448
4.024883s,10.2.0.1,10.1.0.1,82,
4.024997s,10.1.0.1,10.2.0.1,1502,1448
4.025003s,10.2.0.1,10.1.0.1,82,
4.025117s,10.1.0.1,10.2.0.1,1502,1448
4.025124s,10.2.0.1,10.1.0.1,82,
4.025237s,10.1.0.1,10.2.0.1,1502,1448
4.025244s,10.2.0.1,10.1.0.1,82,
4.025357s,10.1.0.1,10.2.0.1,1502,1448
4.025364s,10.2.0.1,10.1.0.1,82,
4.025478s,10.1.0.1,10.2.0.1,1502,1448
4.025484s,10.2.0.1,10.1.0.1,82,
4.025598s,10.1.0.1,10.2.0.1,1502,1448
4.025604s,10.2.0.1,10.1.0.1,82,
4.025718s,10.1.0.1,10.2.0.1,1502,1448
4.025724s,10.2.0.1,10.1.0.1,82,
4.025838s,10.1.0.1,10.2.0.1,1502,1448
4.025844s,10.2.0.1,10.1.0.1,82,
4.025958s,10.1.0.1,10.2.0.1,1502,1448
4.025965s,10.2.0.1,10.1.0.1,82,
4.026078s,10.1.0.1,10.2.0.1,1502,1448
4.026085s,10.2.0.1,10.1.0.1,82,
4.026199s,10.1.0.1,10.2.0.1,1502,1448
4.026205s,10.2.0.1,10.1.0.1,82,
4.026319s,10.1.0.1,10.2.0.1,1502,1448
4.026325s,10.2.0.1,10.1.0.1,82,
4.026439s,10.1.0.1,10.2.0.1,1502,1448
4.026445s,10.2.0.1,10.1.0.1,82,
4.026559s,10.1.0.1,10.2.0.1,1502,1448
4.026565s,10.2.0.1,10.1.0.1,82,
4.026679s,10.1.0.1,10.2.0.1,1502,1448
4.026686s,10.2.0.1,10.1.0.1,82,
4.026799s,10.1.0.1,10.2.0.1,1502,1448
4.026806s,10.2.0.1,10.1.0.1,82,
4.026920s,10.1.0.1,10.2.0.1,1502,1448
4.026926s,10.2.0.1,10.1.0.1,82,
4.027040s,10.1.0.1,10.2.0.1,1502,1448
4.027046s,10.2.0.1,10.1.0.1,82,
4.027160s,10.1.0.1,10.2.0.1,1502,1448
4.027166s,10.2.0.1,10.1.0.1,82,
4.027280s,10.1.0.1,10.2.0.1,1502,1448
4.027286s,10.2.0.1,10.1.0.1,82,
4.027400s,10.1.0.1,10.2.0.1,1502,1448
4.027407s,10.2.0.1,10.1.0.1,82,
4.027520s,10.1.0.1,10.2.0.1,1502,1448
4.027527s,10.2.0.1,10.1.0.1,82,
4.027641s,10.1.0.1,10.2.0.1,1502,1448
4.027647s,10.2.0.1,10.1.0.1,82,
4.027761s,10.1.0.1,10.2.0.1,1502,1448
4.027767s,10.2.0.1,10.1.0.1,82,
4.027881s,10.1.0.1,10.2.0.1,1502,1448
4.027887s,10.2.0.1,10.1.0.1,82,
4.028001s,10.1.0.1,10.2.0.1,1502,1448
4.028007s,10.2.0.1,10.1.0.1,82,
4.028121s,10.1.0.1,10.2.0.1,1502,1448
4.028128s,10.2.0.1,10.1.0.1,82,
4.028241s,10.1.0.1,10.2.0.1,1502,1448
4.028248s,10.2.0.1,10.1.0.1,82,
4.028361s,10.1.0.1,10.2.0.1,1502,1448
4.028368s,10.2.0.1,10.1.0.1,82,
4.028482s,10.1.0.1,10.2.0.1,1502,1448
4.028488s,10.2.0.1,10.1.0.1,82,
4.028602s,10.1.0.1,10.2.0.1,1502,1448
4.028608s,10.2.0.1,10.1.0.1,82,
4.028722s,10.1.0.1,10.2.0.1,1502,1448
4.028728s,10.2.0.1,10.1.0.1,82,
4.028842s,10.1.0.1,10.2.0.1,1502,1448
4.028848s,10.2.0.1,10.1.0.1,82,
4.028962s,10.1.0.1,10.2.0.1,1502,1448
4.028969s,10.2.0.1,10.1.0.1,82,
4.029082s,10.1.0.1,10.2.0.1,1502,1448
4.029089s,10.2.0.1,10.1.0.1,82,
4.029203s,10.1.0.1,10.2.0.1,1502,1448
4.029209s,10.2.0.1,10.1.0.1,82,
4.029323s,10.1.0.1,10.2.0.1,1502,1448
4.029329s,10.2.0.1,10.1.0.1,82,
4.029443s,10.1.0.1,10.2.0.1,1502,1448
4.029449s,10.2.0.1,10.1.0.1,82,
